Date,AAPL,ABBV,AMZN,BAC,C,COP,CVX,EOG,GOOGL,GS,JNJ,JPM,META,MRK,MS,MSFT,PFE,SLB,UNH,XOM,SP500
2023-05-02,166.1332244873047,136.16207885742188,103.62999725341797,26.050662994384766,41.891700744628906,89.71011352539062,140.9574737548828,100.42167663574219,104.4566650390625,309.7602844238281,150.92428588867188,129.7423095703125,237.377197265625,107.54084777832031,78.84381103515625,298.3445739746094,32.59185791015625,42.78605270385742,465.1240539550781,99.40998840332031,4119.580078125
2023-05-03,165.0587615966797,134.03372192382812,103.6500015258789,25.77313232421875,41.59116744995117,87.39096069335938,138.13023376464844,99.89080047607422,104.54593658447266,305.37457275390625,148.94891357421875,126.9965591430664,235.1844024658203,107.8418960571289,77.43669891357422,297.3580322265625,32.08287048339844,41.942928314208984,461.400390625,97.45068359375,4090.75
2023-05-04,163.42247009277344,132.33639526367188,104.0,24.968299865722656,40.88994598388672,88.54598999023438,137.5929718017578,100.1517333984375,103.83184051513672,298.5080261230469,148.27215576171875,125.2594223022461,231.7017364501953,107.06649017333984,75.48136138916016,298.3445739746094,31.899295806884766,41.75762939453125,459.3641052246094,95.74417877197266,4061.219970703125
2023-05-05,171.0913848876953,132.93809509277344,105.66000366210938,25.634368896484375,42.18312072753906,91.28350830078125,141.1072235107422,102.72502899169922,104.70462036132812,303.86004638671875,148.775146484375,127.70632934570312,230.96749877929688,107.34929656982422,77.55549621582031,303.46337890625,32.11623764038086,42.38766098022461,465.9631652832031,98.12786102294922,4136.25
2023-05-08,171.02236938476562,132.41722106933594,105.83000183105469,25.61586570739746,42.21955108642578,91.76551055908203,140.5523223876953,102.89599609375,106.88658142089844,303.38616943359375,148.436767578125,128.01455688476562,231.45367431640625,107.98783874511719,77.1443099975586,301.5096130371094,32.26643371582031,43.18445587158203,464.3982238769531,98.51612091064453,4138.1201171875
2023-05-09,169.31707763671875,131.86044311523438,106.62000274658203,25.588109970092773,42.36525344848633,92.33847045898438,140.1471710205078,102.3651351928711,106.47002410888672,301.7693786621094,147.2844696044922,127.39813232421875,231.55288696289062,107.12123107910156,77.08949279785156,299.89788818359375,32.1078987121582,43.70329666137695,462.2865905761719,98.5431900024414,4119.169921875
2023-05-10,171.08154296875,131.4922332763672,110.19000244140625,25.27358055114746,42.22865676879883,91.37444305419922,138.35922241210938,100.91654205322266,110.83395385742188,299.7066345214844,147.83319091796875,127.46350860595703,231.26515197753906,107.54998779296875,76.49560546875,305.0849914550781,31.95770835876465,42.48957824707031,461.9942932128906,97.27912139892578,4137.64013671875
2023-05-11,171.268798828125,131.64488220214844,112.18000030517578,25.33833885192871,41.91902542114258,90.84695434570312,137.5929718017578,99.44993591308594,115.61444854736328,298.0061950683594,147.22959899902344,127.0619125366211,233.9540252685547,107.23070526123047,75.49964904785156,302.9358825683594,31.696247100830078,40.89598846435547,460.75933837890625,95.51846313476562,4130.6201171875
2023-05-12,170.34095764160156,132.1477813720703,110.26000213623047,25.06081199645996,41.39082336425781,90.42859649658203,137.9452362060547,99.35095977783203,116.54674530029297,296.87261962890625,147.03756713867188,125.24076080322266,231.98944091796875,106.85669708251953,75.28035736083984,301.822265625,31.502248764038086,40.83113098144531,463.0877990722656,95.50942993164062,4124.080078125
2023-05-15,169.84739685058594,131.64488220214844,111.19999694824219,25.5788631439209,41.937232971191406,91.68099212646484,138.45608520507812,100.17872619628906,115.55494689941406,299.2606506347656,145.91268920898438,126.29610443115234,237.00015258789062,106.15428924560547,75.79203033447266,302.3009033203125,31.341995239257812,41.32217788696289,458.9681396484375,95.69158935546875,4136.27978515625
